"REF_DATE","GEO","DGUID","Stock market statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1957-03","Canada","2016A000011124","New York Stock Exchange, value of shares traded","Dollars","81","millions","6","v37417","1.6","1711","","","t","0"
"1957-03","Canada","2016A000011124","New York Stock Exchange, customers' free credit balance","Dollars","81","millions","6","v37420","1.9","820","","","","0"
"1957-04","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","310.8","","","","1"
"1957-04","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","124.5","","","","1"
"1957-04","Canada","2016A000011124","New York Stock Exchange, value of shares traded","Dollars","81","millions","6","v37417","1.6","2259","","","t","0"
"1957-04","Canada","2016A000011124","New York Stock Exchange, customers' free credit balance","Dollars","81","millions","6","v37420","1.9","807","","","","0"
"1957-05","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","324.4","","","","1"
"1957-05","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","126.5","","","","1"
"1957-05","Canada","2016A000011124","New York Stock Exchange, value of shares traded","Dollars","81","millions","6","v37417","1.6","2806","","","t","0"
"1957-05","Canada","2016A000011124","New York Stock Exchange, customers' free credit balance","Dollars","81","millions","6","v37420","1.9","817","","","","0"
"1957-06","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","280.7","","","","1"
"1957-06","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","100.8","","","","1"
"1957-06","Canada","2016A000011124","New York Stock Exchange, value of shares traded","Dollars","81","millions","6","v37417","1.6","2516","","","t","0"
"1957-06","Canada","2016A000011124","New York Stock Exchange, customers' free credit balance","Dollars","81","millions","6","v37420","1.9","820","","","","0"
"1957-07","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","247.2","","","","1"
"1957-07","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","76.6","","","","1"
"1957-07","Canada","2016A000011124","New York Stock Exchange, value of shares traded","Dollars","81","millions","6","v37417","1.6","2615","","","t","0"
"1957-07","Canada","2016A000011124","New York Stock Exchange, customers' free credit balance","Dollars","81","millions","6","v37420","1.9","829","","","","0"
"1957-08","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","221.5","","","","1"
"1957-08","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","70.1","","","","1"
"1957-08","Canada","2016A000011124","New York Stock Exchange, value of shares traded","Dollars","81","millions","6","v37417","1.6","2215","","","t","0"
"1957-08","Canada","2016A000011124","New York Stock Exchange, customers' free credit balance","Dollars","81","millions","6","v37420","1.9","816","","","","0"
"1957-09","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","173.7","","","","1"
"1957-09","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","56.3","","","","1"
"1957-09","Canada","2016A000011124","New York Stock Exchange, value of shares traded","Dollars","81","millions","6","v37417","1.6","1779","","","t","0"
"1957-09","Canada","2016A000011124","New York Stock Exchange, customers' free credit balance","Dollars","81","millions","6","v37420","1.9","838","","","","0"
"1957-10","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","199.1","","","","1"
"1957-10","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","70.9","","","","1"
"1957-10","Canada","2016A000011124","New York Stock Exchange, value of shares traded","Dollars","81","millions","6","v37417","1.6","2821","","","t","0"
